Address,Zip Code,Latitude,Longitude
"346 W Magnolia Ave, Auburn, AL 36832",36832,32.606813,-85.4873283
"2125 Interstate Dr, Opelika, AL 36801",36801,32.6168088,-85.4044788
"300 20th St S, Birmingham, AL 35233",35233,33.5097215,-86.8027557
"4719 US-280, Birmingham, AL 35242",35242,33.4225821,-86.6982795
"3220 Morrow Rd, Birmingham, AL 35235",35235,33.5955814,-86.6474368
"1759 Montgomery Hwy, Hoover, AL 35244",35244,33.378958,-86.8038021
"1031 Montgomery Hwy #111, Vestavia Hills, AL 35216",35216,33.4390692,-86.7882846
"1821 Cherokee Ave SW, Cullman, AL 35055",35055,34.1541338,-86.8412201
"5900 University Dr NW D2, Huntsville, AL 35806",35806,34.7423193,-86.6657205
"3871 Airport Blvd, Mobile, AL 36608",36608,30.6753378,-88.1437539
"7765 Airport Blvd D100, Mobile, AL 36608",36608,30.6827306,-88.2249982
"2560 Berryhill Rd C, Montgomery, AL 36117",36117,32.3591769,-86.1622529
"2566 Cobbs Ford Rd, Prattville, AL 36066",36066,32.4592168,-86.3913319
"1800 McFarland Blvd E Ste 608, Tuscaloosa, AL 35404",35404,33.196755,-87.527042
"1203 University Blvd, Tuscaloosa, AL 35401",35401,33.2106687,-87.5536209
"9925 W McDowell Rd #101, Avondale, AZ 85392",85392,33.4643771,-112.2731936
"944 S Watson Rd, Buckeye, AZ 85326",85326,33.4383084,-112.5583039
"1775 E Florence Blvd Ste 1, Casa Grande, AZ 85122",85122,32.8791301,-111.7112353
"Cave Creek, AZ 85331",85331,33.798883,-111.9664469
"20851 N Scottsdale Rd #101, Scottsdale, AZ 85255",85255,33.6762414,-111.9240139
"21001 N Tatum Blvd, Phoenix, AZ 85050",85050,33.6747533,-111.9752754
"2470 W Happy Valley Rd Suite 1181, Phoenix, AZ 85085",85085,33.714657,-112.1125722
"16635 N Tatum Blvd #100, Phoenix, AZ 85032",85032,33.6381854,-111.9773865
"425 E Bell Rd #140, Phoenix, AZ 85022",85022,33.6399341,-112.0674683
"3009 W Agua Fria Fwy Ste #1, Phoenix, AZ 85027",85027,33.6666577,-112.1232217
"15425 N Scottsdale Rd Ste 160, Scottsdale, AZ 85254",85254,33.6262957,-111.9248201
"4622 E Cactus Rd, Phoenix, AZ 85032",85032,33.5994961,-111.9817441
"2450 W Bell Rd #5, Phoenix, AZ 85023",85023,33.6403728,-112.1122786
"15035 N Thompson Peak Pkwy e101, Scottsdale, AZ 85260",85260,33.6224012,-111.8739547
"11015 N Scottsdale Rd #100, Scottsdale, AZ 85254",85254,33.5859574,-111.9255819
"9301 E Shea Blvd Ste 102, Scottsdale, AZ 85260",85260,33.5808139,-111.8819009
"3039 W Peoria Ave Ste C105, Phoenix, AZ 85029",85029,33.5814625,-112.1251124
"100 E Camelback Rd #200, Phoenix, AZ 85012",85012,33.5096598,-112.0716792
"20004 N 67th Ave Suite 500, Glendale, AZ 85308",85308,33.6659131,-112.2034538
"9010 E Talking Stick Way, Scottsdale, AZ 85250",85250,33.5386903,-111.8876449
"9940 W Happy Valley Pkwy Ste 1040, Peoria, AZ 85383",85383,33.7114249,-112.2730806
"8320 N Hayden Rd Ste 108, Scottsdale, AZ 85258",85258,33.5575736,-111.8991376
"5880 W Thunderbird Rd #1, Glendale, AZ 85306",85306,33.6113128,-112.1845225
"3395 W Chandler Blvd #1, Chandler, AZ 85226",85226,33.3052811,-111.8999822
"2895 S Alma School Rd #1, Chandler, AZ 85286",85286,33.2639222,-111.8572606
"890 N 54th St #5, Chandler, AZ 85226",85226,33.3174204,-111.9688276
"4111 E Chandler Blvd, Phoenix, AZ 85048",85048,33.3047975,-111.993614
"3757 S Gilbert Rd Ste 110, Gilbert, AZ 85297",85297,33.281812,-111.7889158
"1111 S Plaza Way, Flagstaff, AZ 86001",86001,35.1898886,-111.6616523
"1084 S Gilbert Rd #104, Gilbert, AZ 85296",85296,33.3298802,-111.7908959
"1546 N Cooper Rd, Gilbert, AZ 85233",85233,33.3779242,-111.8076396
"2224 E Williams Field Rd #109, Gilbert, AZ 85295",85295,33.3081148,-111.7427414
"3440 E Baseline Rd STE 104, Mesa, AZ 85204",85204,33.3796676,-111.7558129
"4984 S Power Rd Suite 107, Mesa, AZ 85212",85212,33.3255069,-111.6875982
"1411 S Power Rd Ste 103, Mesa, AZ 85206",85206,33.3898773,-111.6839359
"1335 S Alma School Rd #105, Mesa, AZ 85210",85210,33.389606,-111.8568272
"5849 W Northern Ave Ste 500, Glendale, AZ 85301",85301,33.5523649,-112.1856023
"9410 W Hanna Ln Suite A101, Glendale, AZ 85305",85305,33.5350857,-112.2619515
"7700 W Arrowhead Towne Center Suite 2067, Glendale, AZ 85308",85308,33.6423081,-112.2255323
"16680 N 83rd Ave Ste 101, Peoria, AZ 85382",85382,33.6362681,-112.234111
"1560 N Litchfield Rd, Goodyear, AZ 85395",85395,33.4638066,-112.3586628
"7427 W Thomas Rd #5, Phoenix, AZ 85033",85033,33.4796765,-112.2198342
"18725 S Nogales Hwy, Green Valley, AZ 85614",85614,31.9099278,-110.9799669
"3455 Stockton Hill Rd C, Kingman, AZ 86409",86409,35.223992,-114.0370575
"55 Lake Havasu Ave Ste M, Lake Havasu City, AZ 86403",86403,34.4717127,-114.3427527
"5130 W Baseline Rd #105, Laveen Village, AZ 85339",85339,33.37927,-112.1689994
"5940 W, Arizona Pavilions Dr #110, Tucson, AZ 85743",85743,32.3548847,-111.091652
"7555 N La Cholla Blvd Ste 155, Tucson, AZ 85741",85741,32.3435616,-111.0134197
"21423 N John Wayne Pkwy STE 105, Maricopa, AZ 85139",85139,33.0735239,-112.0427408
"2849 N Power Rd #101, Mesa, AZ 85215",85215,33.4679053,-111.6834685
"1955 S Signal Butte Rd #101, Mesa, AZ 85209",85209,33.3794248,-111.600949
"1229 E McKellips Rd #102, Mesa, AZ 85203",85203,33.4510842,-111.803368
"2020 E Elliot Rd #102, Tempe, AZ 85284",85284,33.3497888,-111.9015589
"2000 E E Rio Salado Pkwy Ste 1226, Tempe, AZ 85281",85281,33.4333684,-111.9018362
"21172 S Ellsworth Loop Rd Ste 114, Queen Creek, AZ 85142",85142,33.2561853,-111.6388885
"1038 S Mill Ave, Tempe, AZ 85281",85281,33.4179813,-111.9404017
"815 E Baseline Rd #118, Tempe, AZ 85283",85283,33.3779176,-111.929085
"2805 N Scottsdale Rd #105, Scottsdale, AZ 85257",85257,33.4793369,-111.9257679
"4513 N Scottsdale Rd #108, Scottsdale, AZ 85251",85251,33.5033705,-111.9256946
"10604 N Oracle Rd #101, Oro Valley, AZ 85737",85737,32.3986678,-110.9557617
"13869 W Bell Rd #107, Surprise, AZ 85374",85374,33.6382907,-112.3590925
"2415 E Baseline Rd Ste 111, Phoenix, AZ 85042",85042,33.3772309,-112.0299071
"1515 N 7th Ave Ste 120, Phoenix, AZ 85007",85007,33.4655983,-112.0823811
"4705 E Broadway Rd, Phoenix, AZ 85040",85040,33.4070425,-111.979675
"11 W Washington St #140, Phoenix, AZ 85003",85003,33.4480504,-112.07445
"4423 E Thomas Rd suite b, Phoenix, AZ 85018",85018,33.4797102,-111.9862117
"1660 E Camelback Rd #185, Phoenix, AZ 85016",85016,33.5103751,-112.0462204
"3125 E Indian School Rd Ste 101, Phoenix, AZ 85016",85016,33.4949509,-112.0146334
"351 N Montezuma St B, Prescott, AZ 86301",86301,34.5466316,-112.469246
"5791 E State Rte 69 Ste 100, Prescott Valley, AZ 86314",86314,34.5781207,-112.3626223
"7014 E Camelback Rd Ste 580, Scottsdale, AZ 85251",85251,33.5036822,-111.9293812
"361 Forest Rd B, Sedona, AZ 86336",86336,34.8683333,-111.7619444
"480 N, AZ-90 Ste A6, Sierra Vista, AZ 85635",85635,31.5598647,-110.2579386
"1655 W Elliot Rd, Tempe, AZ 85284",85284,33.348634,-111.965379
"9484 E 22nd St #130, Tucson, AZ 85710",85710,32.2059615,-110.7901435
"1202 W Irvington Rd, Tucson, AZ 85714",85714,32.1639328,-110.9897341
"5870 E Broadway Blvd #3002, Tucson, AZ 85711",85711,32.2211878,-110.8675946
"235 W Wetmore Rd Ste 101, Tucson, AZ 85705",85705,32.2861099,-110.9755519
"3055 N Campbell Ave #183, Tucson, AZ 85719",85719,32.2623895,-110.9441263
"6501 E Grant Rd #141, Tucson, AZ 85715",85715,32.2502641,-110.851543
"4774 E Grant Rd, Tucson, AZ 85712",85712,32.2500233,-110.8909247
"905 E University Blvd Ste 149, Tucson, AZ 85719",85719,32.2319217,-110.9574618
"2536 S Kolb Rd, Tucson, AZ 85710",85710,32.1935343,-110.841689
"4774 E Grant Rd, Tucson, AZ 85712",85712,32.2499906,-110.8910602
"1525 S, Yuma Palms Pkwy Ste 3, Yuma, AZ 85365",85365,32.699728,-114.6010684
"3080 S 4th Ave, Yuma, AZ 85364",85364,32.6715875,-114.6244221
"2400 SE Walton Blvd, Bentonville, AR 72712",72712,36.3346556,-94.1851139
"915 E Oak St, Conway, AR 72032",72032,35.0910873,-92.4182338
"550 W Dickson St, Fayetteville, AR 72701",72701,36.0667367,-94.1661258
"3379 N College Ave #1, Fayetteville, AR 72703",72703,36.1127365,-94.1453854
"100 S University Ave, Little Rock, AR 72205",72205,34.7520104,-92.3415318
"11525 Cantrell Rd Ste 1000, Little Rock, AR 72212",72212,34.7935412,-92.4003671
"601 W 7th St, Los Angeles, CA 90017",90017,34.0475961,-118.2566472
"301 W Olympic Blvd ste a, Los Angeles, CA 90015",90015,34.042015,-118.25841
"3748 S Figueroa St, Los Angeles, CA 90007",90007,34.0169556,-118.282584
"1122 W 6th St #101, Los Angeles, CA 90017",90017,34.0543205,-118.2632069
"545 N Montebello Blvd Ste B, Montebello, CA 90640",90640,34.0189753,-118.1059054
"7101 Melrose Ave, Los Angeles, CA 90046",90046,34.0836265,-118.3443387
"4709 Firestone Blvd, South Gate, CA 90280",90280,33.952512,-118.1856175
"2944 W Imperial Hwy, Inglewood, CA 90303",90303,33.9307059,-118.3255833
"5809 Rosemead Blvd, Temple City, CA 91780",91780,34.104636,-118.0738962
"1077 Broxton Ave, Los Angeles, CA 90024",90024,34.0610586,-118.4463143
"7940 Van Nuys Blvd # 2A, Panorama City, CA 91402",91402,34.2156013,-118.4483274
"5310 Lakewood Blvd, Lakewood, CA 90712",90712,33.854146,-118.1419424
"1759 Alameda St Ste 104, Compton, CA 90220",90220,33.8765352,-118.2178388
"2202 N Tustin St ste a, Orange, CA 92865",92865,33.8258029,-117.8364086
"5976 Orangethorpe Ave, Buena Park, CA 90620",90620,33.8583143,-118.0305772
"1100 Truman St., San Fernando, CA 91340",91340,34.2835807,-118.4413987
"3440 E Chapman Ave, Orange, CA 92869",92869,33.7871702,-117.8165609
"101 E Orangethorpe Ave ste a, Fullerton, CA 92832",92832,33.8597251,-117.9238283
"13348 Newport Ave, Tustin, CA 92780",92780,33.7451198,-117.8146216
"959 E Spring St, Signal Hill, CA 90755",90755,33.8119251,-118.1812713
"1460 Vine St, Los Angeles, CA 90028",90028,34.0973469,-118.3263656
"8890 Apollo Way ste a, Downey, CA 90242",90242,33.922229,-118.1315477
"8500 Firestone Blvd, Downey, CA 90241",90241,33.9378077,-118.1295524
"9512 Culver Blvd, Culver City, CA 90232",90232,34.0233754,-118.3943383
"21300 Hawthorne Blvd A, Torrance, CA 90503",90503,33.8349881,-118.3528047
"307 N Pacific Coast Hwy Unit B, El Segundo, CA 90245",90245,33.919643,-118.3964664
"475 N Beverly Dr, Beverly Hills, CA 90210",90210,34.0713226,-118.4035617
"9737 Chapman Ave A, Garden Grove, CA 92841",92841,33.7888408,-117.9632251
"5047 Eagle Rock Blvd, Los Angeles, CA 90041",90041,34.1383324,-118.2147238
"3183 Wilshire Blvd Ste 195, Los Angeles, CA 90010",90010,34.0621245,-118.291391
"2134 Sunset Blvd ste f, Los Angeles, CA 90026",90026,34.0771454,-118.2647605
"150 Citadel Dr, Commerce, CA 90040",90040,34.0055371,-118.1529537
"2180 S Atlantic Blvd suite b, Monterey Park, CA 91754",91754,34.0383962,-118.1445545
"3939 Crenshaw Blvd A, Los Angeles, CA 90008",90008,34.0132844,-118.336625
"4550 W Pico Blvd, Los Angeles, CA 90019",90019,34.0485182,-118.3365778
"2121 W Main St #210, Alhambra, CA 91801",91801,34.092543,-118.1457557
"2110 E Florence Ave, Walnut Park, CA 90255",90255,33.9744431,-118.2335055
"132 N Glendale Ave, Glendale, CA 91206",91206,34.1474571,-118.246342
"246 S Lake Ave, Pasadena, CA 91101",91101,34.1416198,-118.1319537
"2314 S Shore Center, Alameda, CA 94501",94501,37.7561207,-122.2501137
"2610 5th St ste a, Alameda, CA 94501",94501,37.786141,-122.2812066
"26661 Aliso Creek Rd Ste A, Aliso Viejo, CA 92656",92656,33.57698,-117.725426
"927 S Euclid St ste b, Anaheim, CA 92802",92802,33.8187045,-117.941774
"2002 E Lincoln Ave, Anaheim, CA 92806",92806,33.8395799,-117.8886747
"5631 E La Palma Ave, Anaheim, CA 92807",92807,33.8605698,-117.7922829
"8182 E Santa Ana Canyon Rd Ste 195, Anaheim, CA 92808",92808,33.8680279,-117.748151
"6859 Katella Ave, Cypress, CA 90630",90630,33.8036646,-118.0124369
"8176 E Santa Ana Canyon Rd, Anaheim, CA 92808",92808,33.868049,-117.7481863
"501 N State College Blvd A, Fullerton, CA 92831",92831,33.8745713,-117.8901726
"2773 N Main St, Santa Ana, CA 92705",92705,33.7733667,-117.8670125
"1474 N Kraemer Blvd a3, Placentia, CA 92870",92870,33.8875389,-117.8627577
"19179 Bear Valley Rd Ste 4, Apple Valley, CA 92308",92308,34.4706959,-117.2457915
"400 S Baldwin Ave Ste FC-9, Arcadia, CA 91007",91007,34.1357144,-118.0497349
"1229 E Grand Ave, Arroyo Grande, CA 93420",93420,35.1201735,-120.6017122
"2845 Bell Rd ste a, Auburn, CA 95603",95603,38.9411994,-121.0961608
"860 E Alosta Ave, Azusa, CA 91702",91702,34.1281464,-117.8915716
"4950 Stockdale Hwy, Bakersfield, CA 93309",93309,35.3545309,-119.0570589
"4580 Coffee Rd, Bakersfield, CA 93308",93308,35.4011634,-119.0918348
"10510 Stockdale Hwy, Bakersfield, CA 93311",93311,35.3521218,-119.1191179
"2701 Ming Ave Space 200, Bakersfield, CA 93304",93304,35.3377069,-119.0351604
"2630 Mt Vernon Ave #100, Bakersfield, CA 93306",93306,35.3922326,-118.9679403
"5321 Gosford Rd, Bakersfield, CA 93313",93313,35.3065218,-119.0925288
"13916 Garvey Ave, Baldwin Park, CA 91706",91706,34.0693081,-117.9721609
"300 S Highland Springs Ave Ste 11A, Banning, CA 92220",92220,33.9246056,-116.9463321
"2590 High Point Pkwy, Barstow, CA 92311",92311,34.8528124,-117.0827967
"2311 Telegraph Ave, Berkeley, CA 94704",94704,37.8683843,-122.2589561
"1050 Gilman St, Berkeley, CA 94710",94710,37.8793934,-122.2963245
"2225 Shattuck Ave, Berkeley, CA 94704",94704,37.8688733,-122.2674866
"244 S Beverly Dr, Beverly Hills, CA 90212",90212,34.0633238,-118.3988293
"8420 Beverly Blvd, Los Angeles, CA 90048",90048,34.0758797,-118.3738982
"477 S Associated Rd ste a, Brea, CA 92821",92821,33.9117969,-117.8820526
"1065 Brea Mall Ste 2160, Brea, CA 92821",92821,33.9153422,-117.8864509
"5401 Lone Tree Way Ste 100, Brentwood, CA 94513",94513,37.9612602,-121.7488497
"135 E Palm Ave spc a2, Burbank, CA 91502",91502,34.1819588,-118.3114397
"4012 W Riverside Dr, Burbank, CA 91505",91505,34.1516477,-118.3433513
"48557 Morongo Trail, Cabazon, CA 92230",92230,33.9234265,-116.8053756
