,zip_code,yelp_rating,price_tag,review_count,lat,lng,name,storeid,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment,city_name,state_name
0,91210,2.0,$$,41.0,34.1452,-118.2594,Panda Express,1,689,35.2,159500,93135,188,21,GLENDALE,CA
1,91210,2.0,$,25.0,34.1451,-118.2589,Panda Express,161,689,35.2,159500,93135,188,21,GLENDALE,CA
2,91210,2.0,$,117.0,34.1451463,-118.2592976,Chipotle,277,689,35.2,159500,93135,188,21,GLENDALE,CA
3,30096,3.5,$,58.0,33.9559,-84.1318,Panda Express,2,67959,35.1,53514,28011,8901,1677,DULUTH,GA
4,30096,3.0,$,126.0,33.9552402,-84.1310988,Chipotle,861,67959,35.1,53514,28011,8901,1677,DULUTH,GA
5,30096,3.0,$$,137.0,33.955604,-84.13297,Red Lobster,187,67959,35.1,53514,28011,8901,1677,DULUTH,GA
6,94965,3.0,$,67.0,37.8719,-122.5092,Panda Express,3,11408,51.1,103424,83637,1197,243,SAUSALITO,CA
7,85042,,,,33.3785,-112.0287,Panda Express,4,46570,32.1,53824,23442,8510,1880,PHOENIX,AZ
8,85042,3.0,$,67.0,33.3772309,-112.0299071,Chipotle,77,46570,32.1,53824,23442,8510,1880,PHOENIX,AZ
9,85042,3.0,$$,163.0,33.3911169,-111.9800592,Red Lobster,25,46570,32.1,53824,23442,8510,1880,PHOENIX,AZ
10,94530,3.0,$,97.0,37.9006,-122.2999,Panda Express,5,25754,42.2,99954,51876,2077,719,EL CERRITO,CA
11,94530,2.5,$,134.0,37.8992081,-122.3023089,Chipotle,238,25754,42.2,99954,51876,2077,719,EL CERRITO,CA
12,87114,2.0,$,13.0,35.2074,-106.654,Panda Express,6,68676,35.2,67142,30983,6884,2112,ALBUQUERQUE,NM
13,87114,3.0,$,54.0,35.2045325,-106.6499649,Chipotle,1579,68676,35.2,67142,30983,6884,2112,ALBUQUERQUE,NM
14,87114,3.0,$$,82.0,35.208446,-106.657673,Red Lobster,396,68676,35.2,67142,30983,6884,2112,ALBUQUERQUE,NM
15,76021,3.0,$$,45.0,32.8443,-97.133,Panda Express,7,35741,40.5,71376,38564,2023,874,BEDFORD,TX
16,92230,2.5,$,25.0,33.9216,-116.7978,Panda Express,8,3406,38.4,48284,16368,996,93,CABAZON,CA
17,92230,2.0,$,50.0,33.9289,-116.8158,Panda Express,793,3406,38.4,48284,16368,996,93,CABAZON,CA
18,92230,3.5,$,35.0,33.9236,-116.8095,Panda Express,1332,3406,38.4,48284,16368,996,93,CABAZON,CA
19,92230,4.0,$,12.0,33.9234265,-116.8053756,Chipotle,183,3406,38.4,48284,16368,996,93,CABAZON,CA
20,30188,2.5,$,34.0,34.087,-84.4826,Panda Express,9,63171,38.8,77454,36677,4155,1527,WOODSTOCK,GA
21,30188,3.0,$,38.0,34.1226,-84.525,Panda Express,1105,63171,38.8,77454,36677,4155,1527,WOODSTOCK,GA
22,75007,2.5,$,24.0,33.023,-96.8855,Panda Express,10,54701,39.6,84541,36862,3728,1107,CARROLLTON,TX
23,75007,2.5,$,28.0,32.9844,-96.9092,Panda Express,469,54701,39.6,84541,36862,3728,1107,CARROLLTON,TX
24,84128,2.0,$,35.0,40.7047,-112.0253,Panda Express,11,26855,30.9,73703,21264,2504,679,SALT LAKE CITY,UT
25,92563,2.5,$,84.0,33.5519,-117.1384,Panda Express,12,68128,32.3,90906,29246,4717,2781,MURRIETA,CA
26,93313,2.5,$,58.0,35.309,-119.0926,Panda Express,13,52637,29.7,72946,23856,6100,2318,BAKERSFIELD,CA
27,93313,2.5,$,102.0,35.3065218,-119.0925288,Chipotle,169,52637,29.7,72946,23856,6100,2318,BAKERSFIELD,CA
28,91325,2.0,$,59.0,34.2573,-118.5041,Panda Express,14,34635,36.0,68642,33345,5395,971,NORTHRIDGE,CA
29,91325,2.5,$,91.0,34.2357,-118.5348,Panda Express,978,34635,36.0,68642,33345,5395,971,NORTHRIDGE,CA
30,91325,3.0,$,35.0,34.223551,-118.5019409,Chipotle,363,34635,36.0,68642,33345,5395,971,NORTHRIDGE,CA
