Column 1,zip_code,yelp_rating,price_tag,review_count,lat,lng,name,name 2,storeid,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment,city_name,state_name,state_name 2,Walk Score,Bike Score
0,91210,2,$$,41,34.1452,-118.2594,Panda Express,1,1,689,35.2,159500,93135,188,21,GLENDALE,CA,West,90,63
1,91210,2,$,25,34.1451,-118.2589,Panda Express,1,161,689,35.2,159500,93135,188,21,GLENDALE,CA,West,88,63
2,91210,2,$,117,34.1451463,-118.2592976,Chipotle,0,277,689,35.2,159500,93135,188,21,GLENDALE,CA,West,90,63
3,30096,3.5,$,58,33.9559,-84.1318,Panda Express,1,2,67959,35.1,53514,28011,8901,1677,DULUTH,GA,South,58,46
4,30096,3,$,126,33.9552402,-84.1310988,Chipotle,0,861,67959,35.1,53514,28011,8901,1677,DULUTH,GA,South,56,40
5,30096,3,$$,137,33.955604,-84.13297,Red Lobster,2,187,67959,35.1,53514,28011,8901,1677,DULUTH,GA,South,52,48
6,94965,3,$,67,37.8719,-122.5092,Panda Express,1,3,11408,51.1,103424,83637,1197,243,SAUSALITO,CA,West,71,86
7,85042,,,,33.3785,-112.0287,Panda Express,1,4,46570,32.1,53824,23442,8510,1880,PHOENIX,AZ,West,50,69
8,85042,3,$,67,33.3772309,-112.0299071,Chipotle,0,77,46570,32.1,53824,23442,8510,1880,PHOENIX,AZ,West,51,72
9,85042,3,$$,163,33.3911169,-111.9800592,Red Lobster,2,25,46570,32.1,53824,23442,8510,1880,PHOENIX,AZ,West,72,67
10,94530,3,$,97,37.9006,-122.2999,Panda Express,1,5,25754,42.2,99954,51876,2077,719,EL CERRITO,CA,West,96,97
11,94530,2.5,$,134,37.8992081,-122.3023089,Chipotle,0,238,25754,42.2,99954,51876,2077,719,EL CERRITO,CA,West,95,88
12,87114,2,$,13,35.2074,-106.654,Panda Express,1,6,68676,35.2,67142,30983,6884,2112,ALBUQUERQUE,NM,West,62,57
13,87114,3,$,54,35.2045325,-106.6499649,Chipotle,0,1579,68676,35.2,67142,30983,6884,2112,ALBUQUERQUE,NM,West,61,58
14,87114,3,$$,82,35.208446,-106.657673,Red Lobster,2,396,68676,35.2,67142,30983,6884,2112,ALBUQUERQUE,NM,West,66,67
15,76021,3,$$,45,32.8443,-97.133,Panda Express,1,7,35741,40.5,71376,38564,2023,874,BEDFORD,TX,South,60,44
16,92230,2.5,$,25,33.9216,-116.7978,Panda Express,1,8,3406,38.4,48284,16368,996,93,CABAZON,CA,West,21,24
17,92230,2,$,50,33.9289,-116.8158,Panda Express,1,793,3406,38.4,48284,16368,996,93,CABAZON,CA,West,26,32
18,92230,3.5,$,35,33.9236,-116.8095,Panda Express,1,1332,3406,38.4,48284,16368,996,93,CABAZON,CA,West,28,33
19,92230,4,$,12,33.9234265,-116.8053756,Chipotle,0,183,3406,38.4,48284,16368,996,93,CABAZON,CA,West,28,27
20,30188,2.5,$,34,34.087,-84.4826,Panda Express,1,9,63171,38.8,77454,36677,4155,1527,WOODSTOCK,GA,South,60,46
21,30188,3,$,38,34.1226,-84.525,Panda Express,1,1105,63171,38.8,77454,36677,4155,1527,WOODSTOCK,GA,South,34,15
22,75007,2.5,$,24,33.023,-96.8855,Panda Express,1,10,54701,39.6,84541,36862,3728,1107,CARROLLTON,TX,South,56,44
23,75007,2.5,$,28,32.9844,-96.9092,Panda Express,1,469,54701,39.6,84541,36862,3728,1107,CARROLLTON,TX,South,66,49
24,84128,2,$,35,40.7047,-112.0253,Panda Express,1,11,26855,30.9,73703,21264,2504,679,SALT LAKE CITY,UT,West,69,50
25,92563,2.5,$,84,33.5519,-117.1384,Panda Express,1,12,68128,32.3,90906,29246,4717,2781,MURRIETA,CA,West,66,49
26,93313,2.5,$,58,35.309,-119.0926,Panda Express,1,13,52637,29.7,72946,23856,6100,2318,BAKERSFIELD,CA,West,58,46
27,93313,2.5,$,102,35.3065218,-119.0925288,Chipotle,0,169,52637,29.7,72946,23856,6100,2318,BAKERSFIELD,CA,West,57,45
28,91325,2,$,59,34.2573,-118.5041,Panda Express,1,14,34635,36,68642,33345,5395,971,NORTHRIDGE,CA,West,66,65
29,91325,2.5,$,91,34.2357,-118.5348,Panda Express,1,978,34635,36,68642,33345,5395,971,NORTHRIDGE,CA,West,82,86
30,91325,3,$,35,34.223551,-118.5019409,Chipotle,0,363,34635,36,68642,33345,5395,971,NORTHRIDGE,CA,West,60,41
31,60504,2.5,$,20,41.7686,-88.2063,Panda Express,1,15,38013,34.1,81068,35018,2460,1299,AURORA,IL,Midwest,53,64
32,60504,3,$,13,41.7558,-88.2113,Panda Express,1,409,38013,34.1,81068,35018,2460,1299,AURORA,IL,Midwest,63,66
33,60504,2.5,$,54,41.7684848,-88.2063498,Chipotle,0,896,38013,34.1,81068,35018,2460,1299,AURORA,IL,Midwest,53,64
