STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP
100,Mall,In Line,34.1452,-118.2594,3214 Glendale Galleria,Glendale,CA,91210
1000,Street DT,Free Standing,33.9559,-84.1318,2060 Pleasant Hill Road,Duluth,GA,30096
1001,Street DT,Free Standing,37.8719,-122.5092,100 Donahue St,Sausalito,CA,94965
1002,Street Non-DT,End Cap,33.3785,-112.0287,2434 E. Baseline Rd Suite #101,Phoenix,AZ,85042
1003,Street Non-DT,In Line,37.9006,-122.2999,5020 El Cerrito Plaza #e-2,El Cerrito,CA,94530
1004,Street Non-DT,End Cap,35.2074,-106.654,3703 Ellison Drive Nw,Albuquerque,NM,87114
1005,Street DT,Free Standing,32.8443,-97.133,2252 Central Drive,Bedford,TX,76021
1006,Casino,Food Court,33.9216,-116.7978,49500 Seminole Dr,Cabazon,CA,92230
1008,Street DT,Free Standing,34.087,-84.4826,12162 Highway 92,Woodstock,GA,30188
1009,Street DT,Free Standing,33.023,-96.8855,4105 N. Josey Lane,Carrollton,TX,75007
1011,Street DT,Free Standing,40.7047,-112.0253,3051 S. Colt Plaza Dr,West Valley City,UT,84128
1012,Street Non-DT,End Cap,33.5519,-117.1384,39112 Winchester Rd,Murrieta,CA,92563
1013,Street Non-DT,End Cap,35.309,-119.0926,5041 Gosford Rd.,Bakersfield,CA,93313
1014,Street Non-DT,End Cap,34.2573,-118.5041,17056 Devonshire St,Northridge,CA,91325
1015,Street Non-DT,End Cap,41.7686,-88.2063,848 North Route 59,Aurora,IL,60504
1016,Street Non-DT,End Cap,47.1622,-122.5184,10417 Gravelly Lake Drive Sw,Lakewood,WA,98499
1017,Street DT,Free Standing,33.1015,-96.6748,501 W. Mcdermott Drive,Allen,TX,75013
1018,Street DT,Free Standing,34.0718,-117.9609,14480 Merced Ave,Baldwin Park,CA,91706
102,Mall,Food Court,33.8717,-118.3546,1815 Hawthrone Bl. #312,Redondo Beach,CA,90278
1020,Street DT,Free Standing,47.4604,-122.3335,15842 1st Avenue South,Burien,WA,98148
1021,Street Non-DT,In Line,38.4618,-122.7169,2240 Mendocino Ave. Suite106,Santa Rosa,CA,95403
1022,Street DT,Free Standing,37.7401,-122.1986,8333 Oakport Street,Oakland,CA,94621
1023,Street DT,Free Standing,37.7964,-121.1917,1467 Hulsey Way,Manteca,CA,95336
1024,Store in Store,Food Court,47.6808,-122.1266,8867 161st Ave Ne,Redmond,WA,98052
1025,Street Non-DT,End Cap,32.9645,-96.6444,5345 North Garland Ave,Garland,TX,75040
1026,Street Non-DT,End Cap,33.4233,-111.7887,1950 E. University Drive,Mesa,AZ,85206
1027,Street DT,Free Standing,37.6554,-113.0855,1872 West Cross Hollow Rd.,Cedar City,UT,84720
1029,Street Non-DT,End Cap,32.996,-117.2597,689 Lomas Santa Fe Dr,Solana Beach,CA,92075
103,Mall,Food Court,33.0705,-117.0649,200 E. Via Rancho Pkwy,Escondido,CA,92025
1030,Street DT,Free Standing,33.0131,-97.068,2521 Flower Mound Road,Flower Mound,TX,75028
1031,Street Non-DT,End Cap,34.1738,-119.1611,1671 E. Channel Islands Blvd,Oxnard,CA,93033
1032,Street Non-DT,Free Standing,33.8376,-118.3542,3825 Torrance Blvd.,Torrance,CA,90503
1033,Street Non-DT,End Cap,32.3058,-111.0097,1990 W. River Road,Tucson,AZ,85704
