,STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP,place id,business name,price level,google_rating,google_rating_counts
0,100,Mall,In Line,34.1452,-118.2594,3214 Glendale Galleria,Glendale,CA,91210,ChIJz5JXW__AwoAR0-9dkROcd6k,Panda Express,1.0,4.1,101.0
1,1000,Street DT,Free Standing,33.9559,-84.1318,2060 Pleasant Hill Road,Duluth,GA,30096,ChIJH8YaOBCj9YgRX75_XDMmZcw,Panda Express,1.0,4.1,1161.0
2,1001,Street DT,Free Standing,37.8719,-122.5092,100 Donahue St,Sausalito,CA,94965,ChIJj0dS4BOFhYAR4B3PfS89Wu8,Panda Express,1.0,4.0,197.0
3,1002,Street Non-DT,End Cap,33.3785,-112.0287,2434 E. Baseline Rd Suite #101,Phoenix,AZ,85042,ChIJW_jG7e0PK4cR2sAuYo7kY8o,Panda Express,1.0,3.7,487.0
4,1003,Street Non-DT,In Line,37.9006,-122.2999,5020 El Cerrito Plaza #e-2,El Cerrito,CA,94530,ChIJ7fOzNyN5hYARPiRUKxyPMFM,Panda Express,1.0,3.9,184.0
5,1004,Street Non-DT,End Cap,35.2074,-106.654,3703 Ellison Drive Nw,Albuquerque,NM,87114,ChIJWW29exVxIocRUF0O_6DZDmo,Panda Express,1.0,4.0,227.0
6,1005,Street DT,Free Standing,32.8443,-97.133,2252 Central Drive,Bedford,TX,76021,ChIJJ1VrU6Z_ToYR6rrtQDUPUxQ,Panda Express,1.0,4.0,293.0
7,1006,Casino,Food Court,33.9216,-116.7978,49500 Seminole Dr,Cabazon,CA,92230,ChIJoSDmd4dA24AR_7tvfjAGXKg,Panda Express,1.0,3.7,55.0
8,1008,Street DT,Free Standing,34.086999999999996,-84.4826,12162 Highway 92,Woodstock,GA,30188,ChIJmY5iPk1s9YgRbXAkQGJYHw0,Panda Express,1.0,3.6,372.0
9,1009,Street DT,Free Standing,33.023,-96.8855,4105 N. Josey Lane,Carrollton,TX,75007,ChIJAxDRzqklTIYR4XUq5b9t76U,Panda Express,1.0,3.8,292.0
10,1011,Street DT,Free Standing,40.7047,-112.0253,3051 S. Colt Plaza Dr,West Valley City,UT,84128,ChIJEWIb9UqNUocRRPYxh6-mqt4,Panda Express,1.0,3.8,1589.0
11,1012,Street Non-DT,End Cap,33.5519,-117.1384,39112 Winchester Rd,Murrieta,CA,92563,ChIJf8Uk8Xd-24AREaufYKE8fKw,Panda Express,1.0,4.1,258.0
12,1013,Street Non-DT,End Cap,35.309,-119.0926,5041 Gosford Rd.,Bakersfield,CA,93313,ChIJ21EliFVA6oARGAROdbp9R9o,Panda Express,1.0,4.2,548.0
13,1014,Street Non-DT,End Cap,34.2573,-118.5041,17056 Devonshire St,Northridge,CA,91325,ChIJO7gyD46awoARRdRdtMSYl4g,Panda Express,1.0,3.8,51.0
14,1015,Street Non-DT,End Cap,41.7686,-88.2063,848 North Route 59,Aurora,IL,60504,ChIJN0RWvCz4DogRNJFncNVvwmE,Panda Express,1.0,4.1,451.0
15,1016,Street Non-DT,End Cap,47.1622,-122.5184,10417 Gravelly Lake Drive Sw,Lakewood,WA,98499,ChIJixROOd8AkVQRYOxdUtSyIJg,Panda Express,1.0,3.7,439.0
16,1017,Street DT,Free Standing,33.1015,-96.6748,501 W. Mcdermott Drive,Allen,TX,75013,ChIJ5WK45kcXTIYRwhrouGZ6-Zg,Panda Express,1.0,3.8,347.0
17,1018,Street DT,Free Standing,34.0718,-117.9609,14480 Merced Ave,Baldwin Park,CA,91706,ChIJxziiW6PXwoARNTAwUhKf9lY,Panda Express,1.0,3.8,373.0
18,102,Mall,Food Court,33.8717,-118.3546,1815 Hawthrone Bl. #312,Redondo Beach,CA,90278,ChIJo2cBevm0woARxYGKe7rS0GI,Panda Express,1.0,3.9,162.0
19,1020,Street DT,Free Standing,47.4604,-122.3335,15842 1st Avenue South,Burien,WA,98148,ChIJYxQeX59EkFQRcFtrf1v-6xA,Panda Express,1.0,3.7,401.0
20,1021,Street Non-DT,In Line,38.4618,-122.7169,2240 Mendocino Ave. Suite106,Santa Rosa,CA,95403,ChIJe9C39olHhIARWEZeB33Pu3Q,Panda Express,1.0,3.9,263.0
21,1022,Street DT,Free Standing,37.7401,-122.1986,8333 Oakport Street,Oakland,CA,94621,ChIJ---agb6Fj4ARSf5PWcTdeeQ,Panda Express,1.0,3.4,403.0
22,1023,Street DT,Free Standing,37.7964,-121.1917,1467 Hulsey Way,Manteca,CA,95336,ChIJ1-v0YnVBkIAROVEvdopKWdk,Panda Express,1.0,3.6,330.0
23,1024,Store in Store,Food Court,47.6808,-122.1266,8867 161st Ave Ne,Redmond,WA,98052,ChIJb4QoAE0NkFQRJmLzeigGeiE,Panda Express,1.0,3.7,265.0
24,1025,Street Non-DT,End Cap,32.9645,-96.6444,5345 North Garland Ave,Garland,TX,75040,ChIJXaj0zDgcTIYR3CIfKGW910k,Panda Express,1.0,4.1,255.0
25,1026,Street Non-DT,End Cap,33.4233,-111.7887,1950 E. University Drive,Mesa,AZ,85206,ChIJseQn3DymK4cRdpYY-wEReCk,Panda Express,1.0,3.9,504.0
26,1027,Street DT,Free Standing,37.6554,-113.0855,1872 West Cross Hollow Rd.,Cedar City,UT,84720,ChIJ52TKdXNitYARdLdBwT85tfg,Panda Express,1.0,4.0,495.0
27,1029,Street Non-DT,End Cap,32.996,-117.2597,689 Lomas Santa Fe Dr,Solana Beach,CA,92075,ChIJ_bHDsDEJ3IARHkk8nCyr_js,Panda Express,1.0,3.8,61.0
28,103,Mall,Food Court,33.0705,-117.0649,200 E. Via Rancho Pkwy,Escondido,CA,92025,ChIJBRjwL1jx24ARHHSL4FhJTm0,Panda Express,1.0,3.8,31.0
29,1030,Street DT,Free Standing,33.0131,-97.068,2521 Flower Mound Road,Flower Mound,TX,75028,ChIJ6djkz-EsTIYRvNA-4ovwf78,Panda Express,1.0,3.4,183.0
30,1031,Street Non-DT,End Cap,34.1738,-119.1611,1671 E. Channel Islands Blvd,Oxnard,CA,93033,ChIJhywS7MJO6IARdR5b4Bs-41k,Panda Express,1.0,4.1,331.0
31,1032,Street Non-DT,Free Standing,33.8376,-118.3542,3825 Torrance Blvd.,Torrance,CA,90503,ChIJPZO6CNO0woARqCrq8VKV6B0,Panda Express,1.0,4.1,295.0
