STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP,business name,id
100,Mall,In Line,34.1452,-118.2594,3214 Glendale Galleria,Glendale,CA,91210,Panda Express - Temporarily Closed,T-Lw6wV5AgMOc_CFy_FuXA
1000,Street DT,Free Standing,33.9559,-84.1318,2060 Pleasant Hill Road,Duluth,GA,30096,Panda Express,PRD-eFRxJEytWRMaBry9vw
1001,Street DT,Free Standing,37.8719,-122.5092,100 Donahue St,Sausalito,CA,94965,Panda Express,2Wz_ISB5a7sdggtKwt65nw
1002,Street Non-DT,End Cap,33.3785,-112.0287,2434 E. Baseline Rd Suite #101,Phoenix,AZ,85042,Panda Express,#NAME?
1003,Street Non-DT,In Line,37.9006,-122.2999,5020 El Cerrito Plaza #e-2,El Cerrito,CA,94530,Panda Express,j3RUrxPMJJYTre7o7uRGEQ
1004,Street Non-DT,End Cap,35.2074,-106.654,3703 Ellison Drive Nw,Albuquerque,NM,87114,Panda Express,Dkv0dwBvN4YMiYlub2xJjA
1005,Street DT,Free Standing,32.8443,-97.133,2252 Central Drive,Bedford,TX,76021,Panda Express,lcG6S4HCoZ3oTUnzk0nLCw
1006,Casino,Food Court,33.9216,-116.7978,49500 Seminole Dr,Cabazon,CA,92230,Panda Express - Temporarily Closed,F0qX2uxC6_mNkK4RaeVX6w
1008,Street DT,Free Standing,34.087,-84.4826,12162 Highway 92,Woodstock,GA,30188,Panda Express,RhvtFtsCX2Dp3iIJ7L__Eg
1009,Street DT,Free Standing,33.023,-96.8855,4105 N. Josey Lane,Carrollton,TX,75007,Panda Express,PZgvSxemfHb-yP382xlSSA
1011,Street DT,Free Standing,40.7047,-112.0253,3051 S. Colt Plaza Dr,West Valley City,UT,84128,Panda Express,4r4s_gHGYdmA5saN130Uyg
1012,Street Non-DT,End Cap,33.5519,-117.1384,39112 Winchester Rd,Murrieta,CA,92563,Panda Express,qI9K4NEnvIpyvfoLAYvlFw
1013,Street Non-DT,End Cap,35.309,-119.0926,5041 Gosford Rd.,Bakersfield,CA,93313,Panda Express,8FY1V0fX8uW6jpq_rtlapg
1014,Street Non-DT,End Cap,34.2573,-118.5041,17056 Devonshire St,Northridge,CA,91325,Panda Express,2r1ln_cH63zKie_FJA-0Dw
1015,Street Non-DT,End Cap,41.7686,-88.2063,848 North Route 59,Aurora,IL,60504,Panda Express,kU2coM4bAnIVTyJ1bhzOAw
1016,Street Non-DT,End Cap,47.1622,-122.5184,10417 Gravelly Lake Drive Sw,Lakewood,WA,98499,Panda Express,Yo-DTM1Au4529WE83OOv6w
1017,Street DT,Free Standing,33.1015,-96.6748,501 W. Mcdermott Drive,Allen,TX,75013,Panda Express,mr9Gf65uK8q4JPqZY69sNw
1018,Street DT,Free Standing,34.0718,-117.9609,14480 Merced Ave,Baldwin Park,CA,91706,Panda Express,qtUNJyv_xeBH4uVvW8d01Q
102,Mall,Food Court,33.8717,-118.3546,1815 Hawthrone Bl. #312,Redondo Beach,CA,90278,Panda Express - Temporarily Closed,66sAnE0_qnp2MiAEHkp0_w
1020,Street DT,Free Standing,47.4604,-122.3335,15842 1st Avenue South,Burien,WA,98148,Panda Express,syXKdlmsLClYUkh4Vom-Eg
1021,Street Non-DT,In Line,38.4618,-122.7169,2240 Mendocino Ave. Suite106,Santa Rosa,CA,95403,Panda Express,nzTUIXk4xZXI8n05rrHmAg
1022,Street DT,Free Standing,37.7401,-122.1986,8333 Oakport Street,Oakland,CA,94621,Panda Express,WFaBHysCV41p6gqM1264zw
1023,Street DT,Free Standing,37.7964,-121.1917,1467 Hulsey Way,Manteca,CA,95336,Panda Express,QDi9r2FkalU-Na-j8-7brg
1024,Store in Store,Food Court,47.6808,-122.1266,8867 161st Ave Ne,Redmond,WA,98052,Panda Express,k6A2GJY7-xJlH-v_FWAvnw
1025,Street Non-DT,End Cap,32.9645,-96.6444,5345 North Garland Ave,Garland,TX,75040,Panda Express,rFHTo6gqQmNNo1ALAqLOKA
1026,Street Non-DT,End Cap,33.4233,-111.7887,1950 E. University Drive,Mesa,AZ,85206,Panda Express,huMKC8Yns_l9kuyjjhx-dA
1027,Street DT,Free Standing,37.6554,-113.0855,1872 West Cross Hollow Rd.,Cedar City,UT,84720,Panda Express,VeYOuYUevlEyxufGppGEFQ
1029,Street Non-DT,End Cap,32.996,-117.2597,689 Lomas Santa Fe Dr,Solana Beach,CA,92075,Panda Express,Dadjxp4g0vNUxCO3m1ApSg
103,Mall,Food Court,33.0705,-117.0649,200 E. Via Rancho Pkwy,Escondido,CA,92025,Panda Express - Temporarily Closed,X0sKt6OTTPGa9VJN1aaZvg
1030,Street DT,Free Standing,33.0131,-97.068,2521 Flower Mound Road,Flower Mound,TX,75028,Panda Express,xjx_YoHiGbWe6GXWQKQapg
1031,Street Non-DT,End Cap,34.1738,-119.1611,1671 E. Channel Islands Blvd,Oxnard,CA,93033,Panda Express,c0YFaNJPs4jylc_OODGLsA
1032,Street Non-DT,Free Standing,33.8376,-118.3542,3825 Torrance Blvd.,Torrance,CA,90503,Panda Express,GxN3LeNbU1wwCEP0f_zLeg
1033,Street Non-DT,End Cap,32.3058,-111.0097,1990 W. River Road,Tucson,AZ,85704,Panda Express,LsPmM95HXEyvEYTgMI4Jew
1034,Street Non-DT,End Cap,33.7101,-112.1125,2501 W. Happy Valley Road,Phoenix,AZ,85085,Panda Express,wrRxFrnUucvR4dlG6Q9fKA
1036,Street Non-DT,End Cap,45.3675,-122.839,21155 Sw Baler Way,Sherwood,OR,97140,Panda Express,JeJ8-O_F65e_F5R_g7lPKA
1037,Travel Plaza,Food Court,41.7837,-87.9074,5800 Tri-State Tollway,Hinsdale,IL,60523,Panda Express,dVH0VyR9Mu0vNRc1U3CaYA
