Address,ZIP,lat,lng
"3703 Ellison Drive Nw SUITE #C, Albuquerque, NM 87114",87114,35.2074072,-106.653995
"39112 Winchester Rd STE 108, Murrieta, CA 92563",92563,33.5518567,-117.1383672
"5041 Gosford Rd. F-1, Bakersfield, CA 93313",93313,35.3090117,-119.0926145
"848 North Route 59 SUITE A, Aurora, IL 60504",60504,41.7686049,-88.2063467
"10417 Gravelly Lake Drive Sw STE#H, Lakewood, WA 98499",98499,47.16216759,-122.5184177
"5345 North Garland Ave SPACE #350, Garland, TX 75040",75040,32.9645024,-96.6444466
"1950 E. University Drive SUITE #106, Mesa, AZ 85206",85206,33.4233407,-111.7887427
"689 Lomas Santa Fe Dr SUITE# A & B, Solana Beach, CA 92075",92075,32.996026,-117.259685
"200 E. Via Rancho Pkwy #441, Escondido, CA 92025",92025,33.070471,-117.0649122
"2501 W. Happy Valley Road #50-1290, Phoenix, AZ 85085",85085,33.7101008,-112.1124809
"21155 Sw Baler Way SUITE 113, Sherwood, OR 97140",97140,45.3674765,-122.8390327
"13783 W. Oasis Service Rd. SPACE #113B, Lake Forest, IL 60045",60045,42.25313994,-87.90082589
"9008 Sepulveda Blvd. E-4, North Hills, CA 91343",91343,34.2346811,-118.4670327
"9304 Elk Grove Blvd 130, Elk Grove, CA 95624",95624,38.408791,-121.3522571
"3765 S. Gilbert Road 101, Gilbert, AZ 85296",85296,33.28177019,-111.7890735
"10250 Santa Monica Blvd. FC-6, Los Angeles, CA 90067",90067,34.0583989,-118.4190067
"340 Orland Square OC11, Orland Park, IL 60462",60462,41.6196268,-87.8487604
"1150 El Camino Real SUITE 196, San Bruno, CA 94066",94066,37.6359,-122.4187981
"750 South Progress Ave. Suite #100, Meridian, ID 83642",83642,43.5973249,-116.3901212
"5347 North Blackstone Ave SUITE #102, Fresno, CA 93710",93710,36.8137423,-119.7907967
"29 East Madison SUITE 191, Chicago, IL 60602",60602,41.8818418,-87.6266322
"15951 Fm529 100, Houston, TX 77095",77095,29.8785598,-95.6504781
"750 Citadel Drive East SUITE #2248, Colorado Springs, CO 80909",80909,38.8433755,-104.7629537
"42175 Washington St. A, Palm Desert, CA 92211",92211,33.7426299,-116.304361
"5825 Lincoln Avenue Suite # A, Buena Park, CA 90620",90620,33.83198051,-118.0314102
"14850 N Frank Lloyd Wright Blv SUITE #101, Scottsdale, AZ 85260",85260,33.6201371,-111.8768544
"600 Highway 95 SUITE #600, Bullhead City, AZ 86442",86442,35.1663124,-114.5644488
"20700 Avalon Blvd Space #26, Carson, CA 90746",90746,33.8441199,-118.2610474
"1710 South Orange Blossom TRAILWAY Unit #6, Apopka, FL 32703",32703,28.6511619,-81.4673865
"6100 O St. FC-8 Gateway Mall, Lincoln, NE 68505",68505,40.815097,-96.637898
"14040 Fm 2920 A, Tomball, TX 77377",77377,30.0909964,-95.6335372
"4-831 Kuhio Highway SUITE 222-224, Kapaa, HI 96746",96746,22.0627422,-159.3212267
"12632 S Route 59 SPACE #100, Plainfield, IL 60544",60544,41.6531506,-88.2045696
"7046 Walton St. Space #2, Rockford, IL 61108",61108,42.2681552,-88.9790553
