,Address,Zip Code,Latitude,Longitude,yelp_rating,price_tag,review_count,business_name
0,"1805 Opelika Rd, Auburn, AL 36830",36830,32.626715999999995,-85.443242,2.5,$$,26.0,red-lobster-auburn
1,"3525 Roosevelt Blvd, Birmingham, AL 35235",35235,33.605686999999996,-86.635594,3.0,$$,44.0,red-lobster-birmingham-2
2,"2027 Beltline Rd SW, Decatur, AL 35601",35601,34.5778,-87.019933,2.0,,13.0,red-lobster-decatur-2
3,"3116 Montgomery Hwy, Dothan, AL 36303",36303,31.252109,-85.427155,3.0,$$,26.0,red-lobster-dothan
4,"243 Cox Creek Pkwy, Florence, AL 35630",35630,34.834153,-87.630025,3.0,$$$,6.0,red-lobster-florence-3
5,"1725 Rainbow Dr, Gadsden, AL 35901",35901,33.980628,-86.007564,3.0,$$,26.0,red-lobster-gadsden
6,"1818 University Dr NW, Huntsville, AL 35801",35801,34.741258,-86.599288,2.5,$$,41.0,red-lobster-huntsville
7,"3941 Airport Blvd, Mobile, AL 36608",36608,30.675613000000002,-88.146068,3.0,$$,32.0,red-lobster-mobile
8,"300 Eastdale Cir, Montgomery, AL 36117",36117,32.38259,-86.207348,2.5,$$,36.0,red-lobster-montgomery
9,"515 Quintard Drive, Oxford, AL 36203",36203,33.616783,-85.827221,2.5,$$,20.0,red-lobster-oxford
10,"2620 McFarland Blvd E, Tuscaloosa, AL 35405",35405,33.185072999999996,-87.526797,2.5,$$,27.0,red-lobster-tuscaloosa
11,"1030 Montgomery Hwy, Vestavia Hills, AL 35216",35216,33.43865,-86.789728,2.5,$$,72.0,red-lobster-vestavia-hills
12,"7240 W Ray Rd, Chandler, AZ 85226",85226,33.320471000000005,-111.96779199999999,3.0,$$,163.0,red-lobster-chandler-2
13,"6149 E Southern Ave, Superstition Springs Mall Cir East, Mesa, AZ 85206",85206,33.39347,-111.69845900000001,3.0,$$,102.0,red-lobster-east-mesa-2
14,"1403 S Alma School Rd, Fiesta Mall, Mesa, AZ 85210",85210,33.387793,-111.85681299999999,3.5,$$,158.0,red-lobster-mesa-2
15,"2500 S Beulah Blvd, Flagstaff, AZ 86001",86001,35.176703,-111.66251499999998,3.5,$$,85.0,red-lobster-flagstaff
16,"3845 S Gilbert Rd, Gilbert, AZ 85297",85297,33.280351,-111.789189,3.5,$$,144.0,red-lobster-gilbert
17,"15311 W McDowell Rd, Goodyear, AZ 85395",85395,33.464166,-112.38848300000001,3.0,$$,127.0,red-lobster-goodyear
18,"11695 N Oracle Rd, Oro Valley, AZ 85737",85737,32.418603999999995,-110.938204,3.0,$$,50.0,red-lobster-oro-valley
19,"7921 W Bell Rd, Peoria, AZ 85382",85382,33.637768,-112.229603,3.0,$$,166.0,red-lobster-peoria
20,"10220 N 28th Dr, Phoenix, AZ 85051",85051,33.579057,-112.122169,3.0,$$,134.0,red-lobster-phoenix
21,"2810 N 75th Ave, Phoenix, AZ 85035",85035,33.478782,-112.22127900000001,2.5,$$,60.0,red-lobster-phoenix-2
22,"4802 E Cactus Rd, Scottsdale, AZ 85254",85254,33.598226000000004,-111.97756799999999,3.0,$$,181.0,red-lobster-scottsdale
23,"13709 W Bell Rd, Surprise, AZ 85374",85374,33.638333,-112.350904,3.0,$$,112.0,red-lobster-surprise
24,"Phoenix, AZ 85042",85042,33.3911169,-111.9800592,3.0,$$,163.0,red-lobster-chandler-2
25,"1821 E State Rte 69, Prescott, AZ 86301",86301,34.549467,-112.43501699999999,3.5,$$,75.0,red-lobster-prescott
26,"5061 N Oracle Rd, Tucson, AZ 85704",85704,32.297953,-110.97906699999999,3.0,$$,82.0,red-lobster-tucson-2
27,"5315 S Calle Santa Cruz, Tucson, AZ 85706",85706,32.155301,-110.98728500000001,3.5,$$,63.0,red-lobster-tucson
28,"5870 E Broadway Blvd Suite E-5, Tucson, AZ 85711",85711,32.221076000000004,-110.86799099999999,3.0,$$,109.0,red-lobster-tucson-3
29,"1521 S, Yuma Palms Pkwy, Yuma, AZ 85365",85365,32.699676000000004,-114.60183799999999,3.0,$$,70.0,red-lobster-yuma
30,"3885 N Shiloh Dr, Fayetteville, AR 72703",72703,36.122318,-94.145804,3.5,$$,18.0,red-lobster-fayetteville-2
31,"7401 Rogers Ave, Fort Smith, AR 72903",72903,35.353029,-94.35036099999999,2.5,$$,25.0,red-lobster-fort-smith
32,"4500 Central Ave, Hot Springs, AR 71913",71913,34.451256,-93.078929,3.5,$$,27.0,red-lobster-hot-springs
33,"2642 Red Wolf Blvd, Jonesboro, AR 72401",72401,35.810915,-90.668653,2.5,$$,23.0,red-lobster-jonesboro-2
34,"8407 W Markham St, Little Rock, AR 72205",72205,34.751995,-92.367239,3.0,$$,36.0,red-lobster-little-rock
35,"3707 McCain Blvd, North Little Rock, AR 72116",72116,34.792937,-92.230257,3.0,$$,52.0,red-lobster-north-little-rock
36,"The Pines Mall, 3000 Pines Mall Dr, Pine Bluff, AR 71601",71601,34.208459999999995,-91.970558,2.5,$$,11.0,red-lobster-pine-bluff
37,"1710 S 46th St, Rogers, AR 72758",72758,36.316262,-94.183881,3.5,$$,47.0,red-lobster-rogers
38,"8180 Rosedale Hwy, Bakersfield, CA 93312",93312,35.383860999999996,-119.093014,3.0,$$,194.0,red-lobster-bakersfield
39,"250 Brea Mall Way, Brea, CA 92821",92821,33.915278,-117.883224,3.5,$$,417.0,red-lobster-brea
40,"22800 Vanowen St Ave, Canoga Park, CA 91307",91307,34.193374,-118.62378000000001,3.0,$$,538.0,red-lobster-canoga-park
41,"2010 Business Ln, Chico, CA 95928",95928,39.726287,-121.806513,2.5,$$,88.0,red-lobster-chico
42,"598 H St, Chula Vista, CA 91910",91910,32.630734999999994,-117.08910800000001,3.0,$$,291.0,red-lobster-chula-vista-3
