Address,Zip Code,Latitude,Longitude
"1805 Opelika Rd, Auburn, AL 36830",36830,32.626716,-85.443242
"3525 Roosevelt Blvd, Birmingham, AL 35235",35235,33.605687,-86.635594
"2027 Beltline Rd SW, Decatur, AL 35601",35601,34.5778,-87.019933
"3116 Montgomery Hwy, Dothan, AL 36303",36303,31.252109,-85.427155
"243 Cox Creek Pkwy, Florence, AL 35630",35630,34.834153,-87.630025
"1725 Rainbow Dr, Gadsden, AL 35901",35901,33.980628,-86.007564
"1818 University Dr NW, Huntsville, AL 35801",35801,34.741258,-86.599288
"3941 Airport Blvd, Mobile, AL 36608",36608,30.675613,-88.146068
"300 Eastdale Cir, Montgomery, AL 36117",36117,32.38259,-86.207348
"515 Quintard Drive, Oxford, AL 36203",36203,33.616783,-85.827221
"2620 McFarland Blvd E, Tuscaloosa, AL 35405",35405,33.185073,-87.526797
"1030 Montgomery Hwy, Vestavia Hills, AL 35216",35216,33.43865,-86.789728
"7240 W Ray Rd, Chandler, AZ 85226",85226,33.320471,-111.967792
"6149 E Southern Ave, Superstition Springs Mall Cir East, Mesa, AZ 85206",85206,33.39347,-111.698459
"1403 S Alma School Rd, Fiesta Mall, Mesa, AZ 85210",85210,33.387793,-111.856813
"2500 S Beulah Blvd, Flagstaff, AZ 86001",86001,35.176703,-111.662515
"3845 S Gilbert Rd, Gilbert, AZ 85297",85297,33.280351,-111.789189
"15311 W McDowell Rd, Goodyear, AZ 85395",85395,33.464166,-112.388483
"11695 N Oracle Rd, Oro Valley, AZ 85737",85737,32.418604,-110.938204
"7921 W Bell Rd, Peoria, AZ 85382",85382,33.637768,-112.229603
"10220 N 28th Dr, Phoenix, AZ 85051",85051,33.579057,-112.122169
"2810 N 75th Ave, Phoenix, AZ 85035",85035,33.478782,-112.221279
"4802 E Cactus Rd, Scottsdale, AZ 85254",85254,33.598226,-111.977568
"13709 W Bell Rd, Surprise, AZ 85374",85374,33.638333,-112.350904
"Phoenix, AZ 85042",85042,33.3911169,-111.9800592
"1821 E State Rte 69, Prescott, AZ 86301",86301,34.549467,-112.435017
"5061 N Oracle Rd, Tucson, AZ 85704",85704,32.297953,-110.979067
"5315 S Calle Santa Cruz, Tucson, AZ 85706",85706,32.155301,-110.987285
"5870 E Broadway Blvd Suite E-5, Tucson, AZ 85711",85711,32.221076,-110.867991
"1521 S, Yuma Palms Pkwy, Yuma, AZ 85365",85365,32.699676,-114.601838
"3885 N Shiloh Dr, Fayetteville, AR 72703",72703,36.122318,-94.145804
"7401 Rogers Ave, Fort Smith, AR 72903",72903,35.353029,-94.350361
"4500 Central Ave, Hot Springs, AR 71913",71913,34.451256,-93.078929
"2642 Red Wolf Blvd, Jonesboro, AR 72401",72401,35.810915,-90.668653
"8407 W Markham St, Little Rock, AR 72205",72205,34.751995,-92.367239
"3707 McCain Blvd, North Little Rock, AR 72116",72116,34.792937,-92.230257
"The Pines Mall, 3000 Pines Mall Dr, Pine Bluff, AR 71601",71601,34.20846,-91.970558
"1710 S 46th St, Rogers, AR 72758",72758,36.316262,-94.183881
"8180 Rosedale Hwy, Bakersfield, CA 93312",93312,35.383861,-119.093014
"250 Brea Mall Way, Brea, CA 92821",92821,33.915278,-117.883224
"22800 Vanowen St Ave, Canoga Park, CA 91307",91307,34.193374,-118.62378
"2010 Business Ln, Chico, CA 95928",95928,39.726287,-121.806513
"598 H St, Chula Vista, CA 91910",91910,32.630735,-117.089108
"6231 Sunrise Blvd, Citrus Heights, CA 95610",95610,38.679483,-121.272219
"17601 East, Castleton St, City of Industry, CA 91748",91748,33.994442,-117.919629
"1525 Travis Blvd, Fairfield, CA 94533",94533,38.258468,-122.057722
"39401 Fremont Blvd, Fremont, CA 94538",94538,37.544978,-121.98254
"1460 E Shaw Ave, Fresno, CA 93710",93710,36.808919,-119.761948
"12892 Harbor Blvd, Garden Grove, CA 92840",92840,33.77555,-117.917508
"3400 W Century Blvd, Inglewood, CA 90303",90303,33.945231,-118.331305
"8703 Murray Dr, La Mesa, CA 91942",91942,32.775721,-117.010834
"4333 Candlewood St, Lakewood, CA 90712",90712,33.854124,-118.141097
"503 E Calaveras Blvd, Milpitas, CA 95035",95035,37.433246,-121.896325
"3000 Sisk Rd, Modesto, CA 95350",95350,37.682462,-121.049231
"928 W Huntington Dr, Monrovia, CA 91016",91016,34.139736,-118.018931
"9345 Monte Vista Ave, Montclair, CA 91763",91763,34.084116,-117.697225
"El Camino Real, 2471 Vista Way, Oceanside, CA 92054",92054,33.181665,-117.334428
"4413 E, Mills Cir, Ontario, CA 91764",91764,34.076976,-117.556687
"1740 Ventura Blvd, Oxnard, CA 93036",93036,34.224549,-119.154705
"72291 CA-111, Palm Desert, CA 92260",92260,33.728929,-116.40376
"1041 W Avenue P, Palmdale, CA 93551",93551,34.605124,-118.148905
